Reference, Quantity, Value, Footprint
J4 ,1,EAR,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical
J5 ,1,VCC,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J6 ,1,KEY,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical
J7 ,1,ANT,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J8 ,1,MULTI,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical
J9 ,1,BluePill_Left,Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical
K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 K13 ,13,HFD4/12S,Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y
L1 ,1,23T @ FT50-43,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L11 L14 ,2,0.5u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L15 L18 ,2,0.35u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L16 L17 ,2,0.4u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L19 L22 ,2,0.7u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L2 L12 L13 ,3,0.6u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L20 L21 ,2,0.8u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L23 L26 ,2,1.4u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L24 L25 ,2,1.6u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L3 ,1,0.65u,Inductor_THT:L_Toroid_Vertical_L13.0mm_W6.5mm_P5.60mm
L4 L5 ,2,1000 uH,Inductor_THT:L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2
L6 ,1,3.6u,Inductor_THT:L_Radial_L12.6mm_W12.6mm_Px9.52mm_Py9.52mm_Pulse_LP-37
L7 L10 ,2,2.9u,Inductor_THT:L_Radial_L12.6mm_W12.6mm_Px9.52mm_Py9.52mm_Pulse_LP-37
L8 L9 ,2,3.2u,Inductor_THT:L_Radial_L12.6mm_W12.6mm_Px9.52mm_Py9.52mm_Pulse_LP-37
Q1 Q5 Q8 Q9 Q10 Q11 Q12 Q13 Q14 Q15 Q17 Q20 Q21 Q22 Q23 Q24 ,16,MMBT3904,Package_TO_SOT_SMD:SOT-23
Q16 ,1,MMBT3906,Package_TO_SOT_SMD:SOT-23
Q18 ,1,RD15HVF1,Package_TO_SOT_THT:TO-220-3_Vertical
Q19 ,1,2N2369A/КТ3142A (*),Package_TO_SOT_THT:TO-18-3
Q2 Q3 Q6 Q7 ,4,MMBF170,Package_TO_SOT_SMD:SOT-23
Q4 ,1,IRF4905,Package_TO_SOT_THT:TO-220-3_Vertical
R1 ,1,15K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R6 R9 R12 R27 R81 ,5,10,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R13 ,1,47K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R14 R39 R40 R43 R44 R50 R57 R65 R72 R78 R85 ,11,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R15 ,1,51,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R7 R10 R11 R16 R28 R83 ,6,2.2K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R17 R19 R29 ,3,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R2 ,1,2.7K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R18 R21 ,2,33K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R22 R32 R33 R46 R54 R63 R69 R82 ,8,3.3K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R23 ,1,6.8K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R25 ,1,8.2K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R26 R77 R79 R92 R93 R94 R95 R96 ,8,470,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R3 R30 R31 R88 R89 R90 R91 ,7,100,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R34 R35 ,2,820,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R36 ,1,18,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R37 R38 ,2,300,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R4 ,1,220,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R41 R42 R51 R60 R66 R75 R86 ,7,68,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R45 R53 R62 R68 R80 ,5,22,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R48 R55 R64 R70 R84 ,5,1.3K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R47 R49 ,2,4.7K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R5 ,1,680,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R52 R61 R67 R76 R87 R97 R98 R99 R100 R101 ,10,12,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R56 R71 ,2,36,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R58 R59 R73 R74 ,4,150,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R8 R20 R24 ,3,100K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
RV2 RV3 ,2,10K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
RV4 RV5 ,2,1K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
SYM1 ,1,Logo_Open_Hardware_Small,Symbol:OSHW-Logo2_9.8x8mm_SilkScreen
SYM2 ,1,SYM_Radio_Waves_Large,Symbol:KiCad-Logo_5mm_SilkScreen
T1 T2 T3 T4 T5 T6 T8 ,7,FT37-43,Package_DIP:DIP-6_W7.62mm
T7 ,1,FT50-43,Package_DIP:DIP-6_W7.62mm
U1 U9 ,2,L7805,Package_TO_SOT_SMD:TO-263-2
U2 ,1,24LC64,Package_SO:SO-8_5.3x6.2mm_P1.27mm
U3 ,1,L7809,Package_TO_SOT_SMD:TO-263-2
U4 ,1,TDA2003,Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical
U5 ,1,NE5532,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm
U6 U7 U8 ,3,ADE-6,RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052
Y1 Y2 Y3 Y4 Y5 ,5,9Mhz,Crystal:Crystal_HC49-U_Vertical
~,1,BN61-202,
~,1,MCP100-315DI,
